open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,symbol,price_change,price_change_pct,high_low_pct,volume_usd,price_range,volume_ma_7,volume_ratio,close_ma_7,close_std_7,close_ma_14,close_std_14,close_ma_30,close_std_30,returns_1d,returns_7d,returns_30d,volatility_7d,volatility_30d,close_position,hour,day_of_week,month,quarter
239.68,241.39,239.61,240.48,106239.651,25568155.7131,72914,59107.865,14226646.79668,SOL,0.799999999999983,0.3337783711615416,0.7428738366512134,25548511.27248,1.7799999999999727,,,,,,,,,,,,,,0.4887640449438143,0,3,1,1
240.47,241.58,239.22,241.48,74989.568,18009103.17293,61584,37091.288,8910849.76909,SOL,1.009999999999991,0.42001081215951713,0.9865395869910599,18108480.88064,2.3600000000000136,,,,,,,,,0.004158349966733255,,,,,0.9576271186440584,0,3,1,1
241.48,241.94,240.41,241.77,108471.662,26167926.93935,64200,65482.764,15800984.26499,SOL,0.29000000000002046,0.12009276130529256,0.6364127948088686,26225193.72174,1.5300000000000011,,,,,,,,,0.0012009276130529045,,,,,0.8888888888888972,0,3,1,1
241.77,242.0,239.43,239.89,97337.008,23409824.24591,72324,45082.972,10842505.88182,SOL,-1.8800000000000239,-0.777598544070821,1.0733826170488214,23350174.84912,2.569999999999993,,,,,,,,,-0.007775985440708233,,,,,0.17898832684824154,0,3,1,1
239.89,241.93,239.11,240.95,124710.382,29993303.03773,105399,60251.301,14490317.04204,SOL,1.0600000000000023,0.44186919004543845,1.179373510099951,30048966.5429,2.819999999999993,,,,,,,,,0.004418691900454297,,,,,0.6524822695035388,0,3,1,1
240.94,242.75,239.21,242.14,181855.784,43803463.90836,154262,99778.675,24045963.05462,SOL,1.1999999999999886,0.49804930688137655,1.479871242841015,44034559.537760004,3.539999999999992,,,,,,,,,0.0049387839800787425,,,,,0.8276836158192048,0,3,1,1
242.14,244.7,240.65,241.09,308270.748,74834520.8161,235395,148036.31,35937925.76359,SOL,-1.049999999999983,-0.4336334352027682,1.6829420319966686,74320994.63532001,4.049999999999983,143124.97185714287,2.153857178100925,241.1142857142857,0.768610372530787,,,,,-0.0043363343520277375,,,,,0.10864197530864188,0,3,1,1
241.08,243.42,240.67,243.21,111400.91,26973702.37925,115914,61417.828,14875115.26738,SOL,2.1299999999999955,0.8835241413638607,1.1426434536917771,27093815.3211,2.75,143862.2945714286,0.7743579395272936,241.50428571428571,1.0383939063582472,,,,,0.008793396656850083,0.011352295409181812,,0.005783387831065396,,0.923636363636371,0,3,1,1
243.2,243.22,240.01,241.07,104375.2,25199648.46116,104510,55638.319,13435233.52195,SOL,-2.1299999999999955,-0.8758223684210509,1.3374442731552887,25161729.463999998,3.210000000000008,148060.242,0.7049508942447898,241.44571428571427,1.0514728898527388,,,,,-0.00879898030508619,-0.0016978631770746544,,0.006819418871960542,,0.3302180685358254,0,3,1,1
241.08,241.7,239.33,241.09,78431.549,18872916.07032,93961,36625.408,8813353.20485,SOL,0.009999999999990905,0.004148000663676333,0.9902644883633377,18909062.14841,2.369999999999976,143768.7972857143,0.5455394388820793,241.34857142857143,1.0479253881110244,,,,,8.29634545982394e-05,-0.002812590478553978,,0.006793560876758577,,0.742616033755278,0,3,1,1
241.09,241.38,238.72,241.13,191797.531,46044421.94374,91376,93475.701,22435916.38545,SOL,0.03999999999999204,0.016591314446883755,1.1142761394101863,46248138.650029995,2.6599999999999966,157263.1577142857,1.2195960820553788,241.5257142857143,0.8455344886097766,,,,,0.00016591314446889882,0.0051690358080787036,,0.005965754055747586,,0.9060150375939848,0,3,1,1
241.14,241.23,238.4,238.63,127350.266,30488965.63588,94948,61883.47,14807413.43921,SOL,-2.509999999999991,-1.040889110060542,1.1870805369127448,30389593.97558,2.829999999999984,157640.284,0.8078535686982141,241.19428571428574,1.388906730044142,,,,,-0.010367851366482772,-0.009628553641834348,,0.00698229997344097,,0.08127208480565055,0,3,1,1
238.63,240.64,238.62,240.51,58979.626,14138635.20878,60817,28435.427,6817874.05851,SOL,1.8799999999999955,0.7878305326237253,0.846534238538254,14185189.849259999,2.019999999999982,140086.54714285716,0.42102276915893916,240.96142857142857,1.3396943503579275,,,,,0.007878305326237234,-0.006731642851243058,,0.007493931503973251,,0.9356435643564374,0,3,1,1
240.51,242.2,239.43,239.97,136787.03,32961513.48766,51852,65591.961,15799758.2022,SOL,-0.539999999999992,-0.2245228888611667,1.1569143382199314,32824783.5891,2.769999999999982,115588.87314285713,1.1833927114329068,240.80142857142854,1.3877971582262805,240.95785714285714,1.0899200999045036,,,-0.0022452288886116722,-0.00464556804512839,,0.0073767592596376,,0.19494584837544968,0,3,1,1
239.96,240.81,238.3,238.31,55398.093,13284542.07646,59192,23981.541,5752853.27605,SOL,-1.6500000000000057,-0.6876146024337413,1.053294167016362,13201919.54283,2.509999999999991,107588.47071428572,0.5149073374889432,240.10142857142858,1.1924684282533007,240.80285714285714,1.2976157341087566,,,-0.006917531358086371,-0.020147197894823443,,0.006345660664783306,,0.003984063745016311,0,3,1,1
238.3,239.19,236.16,238.86,106252.084,25275396.41214,92877,54744.745,13029021.28238,SOL,0.5600000000000023,0.2349979018044491,1.2830284552845534,25379372.784240004,3.030000000000001,107856.597,0.9851236452416536,239.78571428571428,1.1858310326919161,240.6157142857143,1.3788329194576956,,,0.002307918257731467,-0.009167461733106452,,0.00599994296941481,,0.8910891089108964,0,3,1,1
238.86,239.07,236.86,237.72,70985.569,16887077.40361,57108,37384.961,8893739.6487,SOL,-1.1400000000000148,-0.4772670183371074,0.9330406147091022,16874689.46268,2.2099999999999795,106792.88557142856,0.6647031646365732,239.3042857142857,1.2503847027062638,240.32642857142855,1.5341377289632723,,,-0.0047726701833710194,-0.013978182421502394,,0.0060934500752019,,0.38914027149320957,0,3,1,1
237.72,238.42,236.48,237.63,111709.773,26514100.88663,71522,59722.125,14171949.48847,SOL,-0.09000000000000341,-0.03785966683493329,0.820365358592692,26545593.35799,1.9399999999999977,95351.77728571428,1.1715541773832934,238.80428571428573,1.0878703529197828,240.165,1.6941517051315156,,,-0.00037859666834938466,-0.014514991913075925,,0.00606470412370979,,0.5927835051546428,0,3,1,1
237.63,237.65,235.13,235.95,128904.323,30422628.78872,73754,50996.18,12034743.51525,SOL,-1.6800000000000068,-0.7069814417371573,1.0717475439118829,30414975.01185,2.5200000000000102,95573.78542857143,1.3487414192287976,238.42142857142855,1.5379253186400783,239.80785714285713,2.0129625261957016,,,-0.007069814417371534,-0.011230775677827598,,0.005404921957042431,,0.32539682539682135,0,3,1,1
235.95,236.68,234.92,235.91,67292.726,15866676.19575,47076,33105.384,7811725.78424,SOL,-0.03999999999999204,-0.01695274422546813,0.7491912140303165,15875026.990659999,1.7600000000000193,96761.37114285714,0.6954503145749139,237.76428571428573,1.4783758784879877,239.36285714285714,2.142218219766364,,,-0.00016952744225473548,-0.019126023865951525,,0.003611094693088193,,0.562499999999999,0,3,1,1
235.92,237.84,235.8,237.55,64300.99,15237005.11014,48987,36326.93,8610468.79422,SOL,1.6300000000000239,0.6909121736181858,0.8651399491094114,15274700.1745,2.039999999999992,86406.22257142856,0.7441708257393725,237.41857142857143,1.1148756069838022,239.10999999999999,2.1315685809714617,,,0.006951803653935995,-0.01008459390757177,,0.0051642141319167235,,0.8578431372549054,0,3,1,1
237.56,238.25,237.1,237.79,38510.71,9153184.9151,45557,19307.03,4589283.68813,SOL,0.22999999999998977,0.09681764606835737,0.4850274145930011,9157461.730899999,1.1500000000000057,83993.73928571427,0.4584950060265972,237.3442857142857,1.0616317180462278,238.72285714285718,1.7953076812429007,,,0.0010103136181855987,-0.0021820318073098033,,0.004600092780343408,,0.5999999999999951,0,3,1,1
237.78,238.41,235.42,235.73,69946.889,16586407.88528,49393,33411.673,7922195.08529,SOL,-2.0500000000000114,-0.8621414753133195,1.2700705122759364,16488580.143969998,2.990000000000009,78807.28285714285,0.887568844706847,236.89714285714285,0.9722262131436594,238.3414285714286,1.8252917876028023,,,-0.00866310610202281,-0.013103910240308214,,0.005367280058873576,,0.10367892976588673,0,3,1,1
235.73,236.17,235.0,235.12,135735.238,31952099.89565,63369,43073.146,10142348.21541,SOL,-0.6099999999999852,-0.2587706274127117,0.4978723404255265,31914069.158560004,1.1699999999999875,88057.23557142857,1.5414433251188873,236.5257142857143,1.0944383208271997,237.915,1.8311230265773184,,,-0.0025877062741270773,-0.010937237085646978,,0.005232188311761274,,0.10256410256410754,0,3,1,1
235.12,235.83,234.19,235.73,112663.953,26475003.82365,65752,41847.224,9834092.40093,SOL,0.6099999999999852,0.2594419870704258,0.700286092489011,26558273.64069,1.6400000000000148,88193.547,1.2774625449637487,236.25428571428574,1.0070395083751091,237.52928571428575,1.662812558406921,,,0.00259441987070419,-0.007995623448217803,,0.005459612537384682,,0.9390243902438892,0,3,1,1
235.73,236.51,235.01,236.06,75047.159,17692824.47176,48382,35455.765,8361222.99883,SOL,0.3300000000000125,0.13999066728885273,0.6382707118846006,17715632.35354,1.5,80499.66642857144,0.9322667077954971,236.27,1.002347245219844,237.3457142857143,1.6737737843922813,,,0.0013999066728884735,0.00046620046620060585,,0.004826530383279243,,0.7000000000000076,0,3,1,1
236.06,239.05,236.04,238.76,142356.06,33854826.66708,79724,84937.96,20195408.93577,SOL,2.6999999999999886,1.1437770058459666,1.2752075919335788,33988932.8856,3.0100000000000193,91222.99985714284,1.5605281587201978,236.67714285714285,1.350206333438321,237.22071428571425,1.4725303407386174,,,0.011437770058459584,0.012080878301047093,,0.006449047051714368,,0.9036544850498277,0,3,1,1
238.77,240.95,237.8,240.72,158617.543,37972123.76925,105968,87559.904,20960011.27926,SOL,1.9499999999999886,0.8166855132554293,1.3246425567703857,38182414.95096,3.1499999999999773,104696.79314285715,1.5150181609055478,237.13000000000002,2.044733071413759,237.27428571428572,1.5892606616126999,,,0.008209080247947753,0.013344559040201931,,0.006633433946405968,,0.9269841269841297,0,3,1,1
240.73,241.82,239.36,240.36,138454.095,33343883.90802,94297,62221.747,14980843.62342,SOL,-0.3699999999999761,-0.15369916503966108,1.0277406417112214,33278826.274200004,2.4599999999999795,118974.41957142857,1.1637299471494915,237.49714285714285,2.385349130880072,237.4207142857143,1.7755495976250741,,,-0.0014955134596210673,0.010807855670970312,,0.006756820032039829,,0.4065040650406538,0,3,1,1
240.35,240.4,236.05,236.49,198106.304,47244520.87802,136228,91841.344,21901570.1063,SOL,-3.859999999999985,-1.6059912627418287,1.8428299089176,46850159.83296,4.349999999999994,137282.90742857143,1.4430514891526107,237.6057142857143,2.307537339119001,237.25142857142856,1.740401620947874,239.07000000000002,2.2866825843083833,-0.016100848726909645,0.003224027489076464,,0.008882239567243145,,0.10114942528735593,0,3,1,1
236.5,241.14,236.47,240.09,208329.667,49861269.31377,168627,114036.479,27287383.4067,SOL,3.5900000000000034,1.5179704016913333,1.9748805345286877,50017869.750029996,4.6699999999999875,147653.54014285715,1.410935808233502,238.31571428571428,2.176103989111832,237.4207142857143,1.8976441438540288,239.057,2.279487465078111,0.015222630978054097,0.02113814222524657,-0.0016217564870258938,0.010291499953019811,0.007018655569506412,0.7751605995717376,0,3,1,1
240.1,240.18,237.51,238.73,202304.565,48362539.6631,113684,106967.678,25589745.74946,SOL,-1.3700000000000045,-0.5705955851728466,1.124163193128717,48296168.80245,2.670000000000016,160459.34185714283,1.2607839634548172,238.7442857142857,1.853490914849172,237.49928571428572,1.9294816533332586,238.96533333333335,2.233520081401317,-0.005664542463242994,0.012726424298986183,-0.011388106675501053,0.01081115449982827,0.007045585952733202,0.4569288389513077,0,3,1,1
238.72,238.82,235.34,235.35,92258.787,21864136.45895,86506,44714.629,10595792.00768,SOL,-3.3700000000000045,-1.4116957104557661,1.478711651228006,21713105.52045,3.4799999999999898,162918.14585714284,0.5662892031738347,238.64285714285714,2.0353682245538915,237.45642857142857,1.9727201335402131,238.75133333333332,2.2628967296797606,-0.014158254094583822,-0.0030077099042616906,-0.02655416304752456,0.012403147942411536,0.007473470851349423,0.0028735632183881994,0,3,1,1
